founder_name,linkedin_url,cold_outreach_email
"Dave Grannan","https://linkedin.com/in/grannan","Subject: Quick question about Marr Labs' AI voice agents

Hi Dave,

I've been following Marr Labs since your YC W24 launch, and your Vlingo-to-Marr journey stood out immediately -- going from powering the first Siri to now building AI voice agents that are indistinguishable from humans feels like the natural next chapter of that story. The $85B addressable market you're targeting in call-based work is a huge opportunity, and the Vox Mortgage launch is a smart wedge into a vertical with real urgency.

I'd love to learn more about how you're approaching latency and trust for phone-based AI agents at scale, and share a few thoughts on where we might be able to help each other.

Would you have 15 minutes in the next week or two for a quick call?

Best,
[Your Name]"
"Han Shu","https://linkedin.com/in/hanshu","Subject: Your work on ASR/NLU at Marr Labs

Hi Han,

Your background building speech recognition for the original Siri at Vlingo, and now leading ML/AI at Marr Labs after stints running ML at Airbnb and DoorDash, is a rare combination of deep technical depth and product instinct. I'm impressed by how Marr Labs is pushing AI voice agents to feel truly human, and I'd love to hear more about the technical challenges you're solving to get there.

I'm reaching out because I think there could be a valuable connection between what you're building and what we're working on.

Could we grab 15 minutes sometime this week or next for a quick call?

Best,
[Your Name]"
"Elle Smyth","https://linkedin.com/in/ellesmyth","Subject: RetailReady's approach to supply chain compliance

Hi Elle,

I came across RetailReady through YC's Winter 2024 batch and was struck by how directly you and Sarah are tackling retail compliance -- a problem that costs brands real money in chargebacks every day. Your path from BlackRock and Stord into building an AI-powered compliance engine gives you a great vantage point on where the pain really lives in the supply chain.

I'd love to learn more about how RetailReady's engine works and explore whether there's a way we could support what you're building.

Would you be open to a 15-minute call in the next week or so?

Best,
[Your Name]"
"Sarah Hamer","https://linkedin.com/in/sarah-hamer-881bb6126","Subject: Loved your story behind RetailReady

Hi Sarah,

I read about how your time at Stord surfaced the retail compliance problems that led you and Elle to start RetailReady, and it's a great example of founders building from firsthand pain rather than a hunch. Bringing an industrial engineering lens from Georgia Tech to an AI-powered compliance engine seems like exactly the right combination for this problem.

I'd love to hear more about what you're seeing in the market and see if there's a way we could be useful to each other.

Do you have 15 minutes for a quick call sometime this week or next?

Best,
[Your Name]"
"Himank Jain","https://linkedin.com/in/himank1","Subject: GetCrux's AI Creative Strategist approach

Hi Himank,

I've been reading up on GetCrux and your path from leading NLP work at J&J to building an AI Creative Strategist that helps marketers make sense of what's actually driving performance. Your experience running Mood Indigo at IIT Bombay also says a lot about your ability to lead at scale, which clearly shows in how you've grown Crux as CEO.

I'd love to learn more about how GetCrux thinks about creative analytics and whether there's an opportunity for us to work together.

Would you have 15 minutes for a quick call in the coming week?

Best,
[Your Name]"
"Atharva Padhye","https://linkedin.com/in/atharvapadhyecrux","Subject: Starting GetCrux over a Bain offer

Hi Atharva,

Turning down a Bain & Co offer to build GetCrux out of college is a bold call, and it seems to be paying off given how the product has developed into an AI Creative Strategist that marketing teams are adopting. Your background in risk analytics at Citibank combined with an engineering foundation from IIT Bombay is an interesting mix for a company focused on making sense of creative performance data.

I'd love to hear more about what you've learned building Crux and explore whether there's a way we could collaborate.

Do you have 15 minutes for a call sometime this week or next?

Best,
[Your Name]"
"Prabhat Singh","https://linkedin.com/in/prabhat7758","Subject: Your work on GetCrux and Eduride

Hi Prabhat,

Between co-founding Eduride to support students during COVID and now building GetCrux's AI Creative Strategist, it's clear you gravitate toward solving real problems at scale. I'd love to learn more about how the founding team is thinking about applying AI to creative strategy and where you see the product heading next.

I think there could be a good opportunity for us to connect and share notes.

Would you be open to a quick 15-minute call in the next week or two?

Best,
[Your Name]"
"Yvonne Chou","https://linkedin.com/in/yvonne-chou","Subject: kater.ai and your data engineering background

Hi Yvonne,

Your background as a data engineer at Crexi building data infrastructure from the ground up gives real credibility to what you're building at kater.ai -- delivering complete data analysis from a single question is exactly the kind of workflow that engineers and analysts have wanted for years. I'd love to hear more about how kater.ai handles the last mile of turning a natural language question into a trustworthy analysis.

I think there could be a good reason for us to talk further.

Would you have 15 minutes for a call sometime in the next week or two?

Best,
[Your Name]"
"Robin Seitz","https://linkedin.com/in/robin-seitz-12029970","Subject: The engineering behind kater.ai

Hi Robin,

I've been looking into kater.ai and your background spanning distributed systems and big data at Microsoft, Abbott, and Paragon seems like a great foundation for the technical challenge of turning a single question into a complete data analysis. I'd love to learn more about the architecture you've built as CTO and how you're thinking about scaling it.

I believe there's a good opportunity for us to connect and compare notes.

Do you have 15 minutes for a quick call this week or next?

Best,
[Your Name]"
"Alex Liao","https://linkedin.com/in/alexliaoo","Subject: Dragoneye's zero-shot video detection

Hi Alex,

The Dragoneye Playground is a great piece of product work -- letting developers go from an uploaded video and a text description of categories to a working detection model in under 5 minutes is a huge unlock compared to the traditional annotate-and-train grind. Your background at Jane Street and Facebook combined with a Physics/CS foundation from UPenn clearly shows in how well-built the zero-shot approach is.

I'd love to learn more about what you're building and see if there's an opportunity for us to work together.

Would you have 15 minutes for a quick call in the next week or so?

Best,
[Your Name]"
